NB2020 [recipe] data (yossy) 2026-01-10
code	user	root	branch	public	protect	draft	favorite	name	dish	type	role	tech	time	cost	sum	protocol	date
yo-r-07iU316ioZCJ0e0HYKxF	yossy		0	1	1	0	0	りんごのタルト	2	7	5	9	0	0	07148:90:g:90:::1.0:90<t>P01005:0.1e3:g:0.1e3:::1.0:0.1e3<t>14017:12:大さじ:1:::1.0:12<t>03005:12:大さじ:1:::1.0:12<t>17067:0.05:g:0.05::お好み:1.0:0.05	#群馬のお教室　タルト　オーブン<n>#<n>パイシートは半解凍にする。<n>りんごは4つ割りにして皮をむき、芯をとり除き5mm厚さのくし型に切る。<n>グラニュー糖とシナモンは混ぜておく。<n><n>パイシートのふちを1cm残し、りんごを重ねて並べる。<n>残したふちを内側に折り込んで形を整え、溶かしバターを刷毛で塗る。<n>シナモンシュガーを振り掛け、200度に予熱したオーブンで15分程焼く。<n>@時間は調節する。	2023-05-15
yo-r-0853-0240-e242-6d66	yossy		0	1	1	0	0	ゴーヤチャンプルー	1	1	2	3	3	0	06205:80:g:80::=ゴーヤ:1.0:80<t>04032:150:10:1:::1.0:150<t>11183:40:枚:2:::1.0:40<t>12004:55:個M:1:::1.0:55<t>14002:6.0:大さじ:1/2:0::1.0:6.0<t>+::::0:調味料:1.0<t>17138:15:大さじ:1:::1.0:15<t>17007:1.0:g:1:::1.0:1.0<t>17012:6.0:小さじ:1:0::1.0:6.0<t>-:0:g:0:0::1.0:0<t>10091:1.0:g:1.0::適当:1.0:1.0	#ソロ飯 沖縄<n>#<n>豆腐は食べやすい大きさに手で割り皿にのせ、ラップ無しで電子レンジで500W1分加熱し、水気を切る。<n>ゴーヤは縦半分に切り、スプーンで中心部の種と綿を取り除き、薄切りにする。<n>@苦味を抑えたい場合は塩を振りしばらく置き、水洗いし水気を切る<n>ベーコンは2cm幅に切る。<n>卵は溶きほぐしておく。<n>調味料は合わせておく。<n><n>フライパンに油を入れて熱し、強火でベーコンとゴーヤを炒める。<n>豆腐を加えて、潰さないように軽く炒める。<n>合わせた調味料を加えて混ぜ炒め、卵を回しがけて手早くとじる。<n><n>器に盛り付け、かつお節をかえて仕上げる。	2021-09-06
yo-r-08aa-4349	yossy		0	1	1	0	0	紅白なます	4	1	3	6	0	0	06130:200:g:200:::1.0:200<t>06214:30:g:30:::1.0:30<t>17012:3.0:小さじ:1/2:::1.0:3.0<t>07142:2.0:g:2.0::適当:1.0:2.0<t>10362:80:g:80:0:酢だこ:1.0:80<t>+:-:g:-:0:合わせ酢:-:-<t>17015:60:大さじ:4:::1.0:60<t>03003:27:大さじ:3:::1.0:27<t>17012:2.0:小さじ:1/3:::1.0:2.0	#おせち料理 群馬のお教室<n>大根と人参はせん切りにし、塩をまぶして揉んでおく。<n>柚子の皮を削ぎ切りにし、せん切りにする。<n>合わせ酢を作る。<n><n>野菜を絞って水気をしっかりとり、合わせ酢に漬け込む。<n>酢だこの薄切りと柚子の皮を散らす。	2021-12-24
yo-r-08b35abd4f9efbb338a6	yossy	yo-r-3435ec778160524fb636	0	1	1	0	0	ハードロール DKN	4	7	1	9	0	0	01020:200:g:200:::1.0:200<t>P03005:10:g:10:::1.0:10<t>17012:4.0:g:4:::1.0:4.0<t>P00001:118:ml:118:::1.0:118<t>13003:10:ml:10:::1.0:10<t>17083:2.1:g:2.1:::1.0:2.1<t>06368:5.0:小さじ:1:::1.0:5.0<t>14018:6.0:g:6:0::1.0:6.0	#京都の学校　パン<n>#<n>大きめのボウルに強力粉、砂糖、塩を入れて、泡だて器でよく混ぜる。<n>別のボウルに牛乳、水、ドライイーストを加えながら混ぜ合わせる。<n>液体に大根おろしの汁を加え粉に回しがけ、塊になるまでカードで切るように混ぜる。<n><n>塊になったら取り出して、台の上で手で艶が出るまでこねる。<n>@最初はベタベタするけど気にせずこねる。<n>バターを加えて薄くスムースにの延びるまでこねる。<n>@一旦ベタベタするけど気にせずこねる。<n><n>ツヤツヤになったら油を薄く塗ったボウルに入れて、ラップをして30℃、60分間1次発酵させる。<n>一旦空気を抜き、80gに分割して丸め、乾燥しないように濡れタオルを被せ、20分間休ませる。<n>形を整え、天板にのせ、霧吹きで表面を湿らせ30℃、60分間2次発酵させる。<n>@オーブンで発酵させる場合は底に水入りバットを置く<n><n>焼く直前に表面にクープを入れ、霧吹きで湿らせる。<n>220℃のオーブンで水バットを置いたまま、15分焼く。<n>@時間は様子を見て調節する	2023-04-13
yo-r-09b7-d9d1-1b19-564a	yossy		0	1	1	0	0	*10和風・暗	1	1	7	1	0	0	17007:55:g:55:::1.0:55<t>16025:40:g:40.0:::1:40<t>17138:30:g:30.0:::1:30<t>P17022:7.0:g:7:::1.0:7.0	#ベース<n>#10倍希釈で塩分約1%<n>鍋にみりんと酒を入れ熱し、泡が出始めたら火をつけてアルコールを飛ばす。<n>@火傷に注意<n>顆粒だし、醤油を加えひと煮立ちさせる。<n>消毒した容器に移し、100ml(105g)までメスアップする。	2025-09-07
yo-r-09c13f0047fe02c467b2	yossy		0	0	0	0	0	プレーンオムレツ	1	7	2	3	0	0	12004:220:株M:4:::1.0:220<t>14017:30:g:30:::1.0:30<t>13014:21:ml:20:::1.0:21<t>17012:0.6:g:0.6::適当:1.0:0.6<t>17065:0.01:g:0.01::適当:1.0:0.01	#男の子<n>#	2022-12-15
yo-r-09N5buVdW57ncSbCGYuf	yossy		0	1	1	0	0	スコーン	10	7	5	9	0	0	01015:250:g:250:::1.0:250<t>17084:12:大さじ:1:::1.0:12<t>14020:50:g:50:::1.0:50<t>03003:9.0:大さじ:1:::1.0:9.0<t>13025:53:カップ:1/4:::1.0:53<t>12004:55:個M:1:::1.0:55<t>13003:31:大さじ:2.0::要調整:1.0:31<t>07125:20:g:20::適当:1.0:20<t>13017:10:g:10.0::適当:1.0:10	#群馬のお教室<n>#<n>ボウルに薄力粉とベーキングパウダーをふるい入れ、砂糖、マーガリンを入れてフォークを使って混ぜ合わせる。<n>ヨーグルト、卵を入れて混ぜ、牛乳は固さを見ながら混ぜ込む。<n><n>生地を台の上に取り出して3cm厚さにのばし、型で抜く。<n>220度に予熱したオーブンで10-12分焼きく。<n><n>好みでジャム、ホイップした生クリームを添えて仕上げる。	2021-10-03
yo-r-0af6-579c-0355-38a0	yossy		0	1	1	0	0	じゃこぽん冷や奴	1	1	3	7	1	0	04033:150:g:150:::1.0:150<t>10056:5.0:g:5:::1.0:5.0<t>06228:3.0:g:3:::1.0:3.0<t>17137:5.0:g:5::適当:1.0:5.0	#ソロ飯<n>#<n>ねぎは小口切りにする。<n><n>器に豆腐を盛り付け、ちりめんじゃこと、ねぎをのせ、ポン酢をかけて仕上げる。	2022-05-22
yo-r-0aV4zJBg2vFQ04AD68aW	yossy		0	1	1	0	0	りんごのコンポート	1	7	5	8	5	2	07148:30:g:30.0::1/4個:1.0:30<t>P00001:8.0:g:8.0:::1.0:8.0<t>16011:8.0:g:8.0:::1.0:8.0<t>03003:2.5:g:2.5:::1.0:2.5	#京都の学校<n>#<n>りんご等分にくし切りに切り、芯を取って、皮を薄く剥く。<n>@1/12~1/8等分くらい<n><n>鍋に赤ワインを入れて熱し、アルコールを飛ばす。<n>水と砂糖を加え煮立たせる。<n>リンゴを入れて、シロップが少し残る程度まで煮詰める。<n>粗熱を取り、冷蔵庫で冷却する。<n><n>器にコンポートを盛り付け、シロップをかけて仕上げる。	2021-10-03
yo-r-0bVLMJ2Imhi1ovMbgVQG	yossy		0	1	1	0	0	なめこ汁	2	1	4	1	0	0	08020:50:g:50:::1.0:50<t>17028:4.0:小さじ:1:::1.0:4.0<t>P00001:500:カップ:2.5:::1.0:500<t>17045:17:大さじ:1:::1.0:17<t>06227:2.0:g:2:::1.0:2.0	#群馬のお教室<n>#<n>なめこはザルに入れて、流水の下でさっと洗う。<n>ねぎは斜めに切る。<n><n>鍋に出し汁を入れて煮立て、なめこを加え1分ほど煮る。<n>味噌を加えて、万能ねぎを散らす。<n><n>器に盛り入れ、仕上げる。	2018-10-28
yo-r-0c4f-1ea3-31fe-dde4	yossy		0	1	1	0	0	豆乳リゾット	1	2	1	1	3	0	01088:0.1e3:g:0.1e3:::1.0:0.1e3<t>06153:30:g:30:::1.0:30<t>06017:25:15:50.0:::1.0:25<t>06183:20:個M:2:::1.0:20<t>04053:0.1e3:g:0.1e3:0::1.0:0.1e3<t>-:0:g:0:0::1.0:0<t>17045:2.9:小さじ:1/2:::1.0:2.9<t>P00001:45:大さじ:3:0::1.0:45<t>-:0:g:0:0::1.0:0<t>13038:2.0:小さじ:1.0::=粉チーズ:1.0:2.0<t>17065:0.01:g:0.01::適当:1.0:0.01	#ソロ飯<n>#<n>玉ねぎは繊維を切る方向に薄切り。<n>ミニトマトは半分に切る。<n>枝豆は解凍して鞘から取り出す。<n><n>鍋に味噌と水を入れて味噌を溶かし、玉ねぎを入れ、蓋をして1-2分煮る。<n>蓋を取り、豆乳、ごはん、枝豆を入れて、水分が減るまで２分ほど煮る。<n><n>器に盛り付けて、トマトを添え、粉チーズと胡椒をふって仕上げる。	2021-12-15
yo-r-0c58d0aad836dcadb7ac	yossy		0	1	1	0	0	寄せ煮	3	1	2	1	0	0	06084:0.1e3:g:0.1e3:::1.0:0.1e3<t>06317:80:g:80:::1.0:80<t>06151:0.1e3:g:0.1e3:::1.0:0.1e3<t>08013:8.0:枚(冬菇):2.0:::1.0:8.0<t>06020:11:枚M:6:::1.0:11<t>02003:100:g:100::=さざれこんにゃく:1.0:100<t>+::::0:調味料:1.0:<t>17021:400:g:400:::1.0:400<t>16025:40:g:40:::1.0:40<t>17008:20:g:20:::1.0:20<t>17007:24:g:24:::1.0:24<t>03003:30:g:30:0::1.0:30<t>-:0:0:0:0::1.0:0<t>14006:12:大さじ:1:::1.0:12	#京都の学校 おせち料理<n>#<n>干し椎茸は水で戻し、石づきを取り除き、4等分に切る。<n>ごぼうは皮をこそぎ落とし、7mm程の斜め切りにし、1%酢水に漬けておく。<n>れんこんは皮をむき、縦に4つ割にしてから乱切りにし、1%酢水に漬けておく。<n>竹の子水煮は乱切りにし、さっと茹でて、ザルに上げる。<n>@生の場合は水から5分ほど茹でる<n>絹さやは筋を取り除き、さっと塩ゆでにし、冷水にとり、水気を切る。<n>さざれこんにゃくは2-3分茹で、ザルに上げる。<n>@板こんにゃくの場合は、2cm程の大きさにちぎる<n><n>鍋に油をひき、こんにゃく、ごぼう、れんこん、竹の子、しいたけを入れて炒める。<n>全体に油がまわり、チリチリしてくれば調味料を入れて、強めの火で沸騰させる。<n>@灰汁は適当にすくい取る<n>沸騰したら、日を弱め落し蓋をして煮る。<n>@常時ギリギリ沸騰する状態になるように火加減を調節する<n>煮汁が少なくなったら、落し蓋を取り、鍋を揺すって煮汁を全体に絡めながら煮詰める。<n>@具材が脆くなっているので、ヘラなどで混ぜない<n><n>器に盛り付けて、絹さやをちらして仕上げる。<n>#写真は絹さやなし<n>#梅花人参旨煮は別レシピ	2022-05-20
yo-r-0c5e-d2a7-54d2-70ed	yossy		0	1	1	0	0	魚の缶詰炒め	1	1	2	3	2	0	10178:100:g:100.0::蒲焼き味:1.0:100<t>06245:40:個M:1:::1.0:40<t>06226:50:g:50.0::0.5本/人:1.0:50<t>14002:4.0:小さじ:1:::1.0:4.0	#ソロ飯<n>#魚の缶詰なら何でもOK<n><n>ピーマンはヘタと種を取って細切りにする。<n>長ねぎは斜め切りにする。<n><n>フライパンにごま油を入れて熱し、野菜をしんなりするまで炒める。<n>缶詰の魚を汁ごと加え、さっと炒める。<n><n>器に盛り付けて仕上げる。	2021-08-24
yo-r-0e2c-7b89-e936-be74	yossy		0	1	1	0	0	まぐろユッケ	1	6	2	7	3	0	10252:100:g:100.0:0:刺身:1.0:100<t>+::::0:つけダレ:1.0<t>17007:18:大さじ:1.0:::1:18<t>14002:6.0:大さじ:1/2:::1:6.0<t>03003:3.0:小さじ:1.0:::1:3.0<t>05018:3.0:小さじ:1.0::白すりごま:1:3.0<t>17076:1.0:小さじ:1/4:0::1.0:1.0<t>-:0:g:0:0::1.0:0<t>12010:17:個M:1:::1.0:17<t>06128:40:g:40.0:::1.0:40<t>06362:40:g:40.0::4枚/人:1.0:40	#ソロ飯<n>#ちょっと塩分が多いの、食べ方に注意<n><n>ボウルにつけダレの材料を合わせ、マグロを入れて和える。<n>カイワレはハサミで根元を切り落とし、皿に盛り付ける。<n>サンチェは半分にちぎり、皿に盛り付ける。<n>マグロをつけダレごと盛り付け、中央を凹ませ卵黄を乗せて仕上げる。<n><n>#写真はサンチュじゃなくてサラダ菜	2021-08-24
yo-r-0e6551ddc7b55bb995bc	yossy		0	1	1	0	0	バターライス	3	7	9	1	0	0	01083:210:g:210:::1.0:210<t>06153:53:個M:1/4:::1.0:53<t>17138:50:g:50:::1.0:50<t>P00001:250:g:250::要調整:1.0:250<t>17012:3.0:小さじ:0.5:::1.0:3.0<t>17065:0.01:g:0.01::適当:1.0:0.01<t>14018:18:g:18:::1.0:18<t>-:0:0:0:0::1.0:0<t>P00001:-100.0:g:-100::蒸発分:1.0:-100.0	#男の子 フライパン ベース<n>#<n>米は研がずにサッと洗い、ザルに上げておく。<n>玉ねぎはみじん切りにする。<n><n>フライパンにバターと玉ねぎを入れて、バターが焦げないように弱火で炒める。<n>米を加え、表面に艶が出るまで、火を通す。<n>お酒、水、塩、胡椒を入れて、混ぜ合わせ、強火で沸騰させる。<n>@水の量は蓋がピッタリの場合は少し減らす。沸騰するまでは混ぜない<n>蓋をして、火を弱火にし10分程加熱する。<n>炊けたら、火を止めて、そのまま10分程蒸らす。<n><n>器に盛り付けて仕上げる。<n>@冷凍する場合は小分けにして、平たく成形する	2022-07-25
yo-r-0e74-eda8-2bd4-dd71	yossy		0	1	1	0	0	油揚げのカリカリポン酢	1	1	3	3	2	0	04040:40:g:40:::1.0:40<t>06153:20:g:20:::1.0:20<t>10091:1.0:g:1.0::適当:1.0:1.0<t>17137:6.0:小さじ:1.0::適当:1.0:6.0	#ソロ飯<n>#<n>玉ねぎは薄切りにする。<n><n>フライパンに油揚げを入れて3分ほど熱し、両面をカリッと焼く。<n>食べやすく油揚げを切り、器に盛り付ける。<n><n>玉ねぎと鰹節をのせ、ポン酢をふりかけて仕上げる。	2021-07-15
yo-r-0eb7-1d43-0f39-7621	yossy		0	1	1	0	0	吸油量-フライ:タラ (10%)	1	0	100	0	0	0	14006:10:g:10:::1.0:10	参考<n>女子栄養大学出版部<n>調理のためのベーシックデータ　第４版	2021-03-31
yo-r-0f96-d858-b2f6-735d	yossy		0	1	1	0	0	油揚げピザ	1	1	3	2	2	0	04040:40:g:40.0::ふわふわ:1.0:40<t>06153:20:g:20:::1.0:20<t>13040:18:g:18.0::1枚/人:1.0:18<t>17036:15:大さじ:1.0::適当:1.0:15	#ソロ飯<n>#<n>玉ねぎは薄切りにする。<n>油揚げとスライスチーズは三角型に切る。<n><n>アルミホイルに油揚げをのせ、その上に玉ねぎとチーズをのせる。<n>オーブントースターで3-4分、チーズがいい感じになるまで焼く。<n><n>器に乗せて、ケチャップをかけて仕上げる。	2021-07-15
