name	sex	period_class	reriods	reriode	EAR	RDA	AI	UL	unit	DG_min	DG_max	DG_unit
FIB	1	y	10	11					g/day	13		g/day
FIB	1	y	12	14					g/day	17		g/day
FIB	1	y	15	17					g/day	18		g/day
FIB	1	y	18	29					g/day	18		g/day
FIB	1	y	30	49					g/day	18		g/day
FIB	1	y	50	64					g/day	18		g/day
FIB	1	y	65	74					g/day	17		g/day
FIB	1	y	75	999					g/day	17		g/day
FIB	1	p	0	15					g/day	18		g/day
FIB	1	p	16	27					g/day	18		g/day
FIB	1	p	28	99					g/day	18		g/day
FIB	1	l							g/day	18		g/day
VITA_RAE	0	m	0	5			300	600	ugRAE/day			
VITA_RAE	0	m	6	11			400	600	ugRAE/day			
VITA_RAE	0	y	1	2	300	400		600	ugRAE/day			
VITA_RAE	0	y	3	5	350	450		700	ugRAE/day			
VITA_RAE	0	y	6	7	300	400		950	ugRAE/day			
VITA_RAE	0	y	8	9	350	500		1200	ugRAE/day			
VITA_RAE	0	y	10	11	450	600		1500	ugRAE/day			
VITA_RAE	0	y	12	14	550	800		2100	ugRAE/day			
VITA_RAE	0	y	15	17	650	900		2500	ugRAE/day			
VITA_RAE	0	y	18	29	600	850		2700	ugRAE/day			
VITA_RAE	0	y	30	49	650	900		2700	ugRAE/day			
VITA_RAE	0	y	50	64	650	900		2700	ugRAE/day			
VITA_RAE	0	y	65	74	600	850		2700	ugRAE/day			
VITA_RAE	0	y	75	999	550	800		2700	ugRAE/day			
VITA_RAE	1	m	0	5			300		ugRAE/day			
VITA_RAE	1	m	6	11			400		ugRAE/day			
VITA_RAE	1	y	1	2	250	350			ugRAE/day			
VITA_RAE	1	y	3	5	350	500			ugRAE/day			
VITA_RAE	1	y	6	7	300	400			ugRAE/day			
VITA_RAE	1	y	8	9	350	500			ugRAE/day			
VITA_RAE	1	y	10	11	400	600			ugRAE/day			
VITA_RAE	1	y	12	14	500	700			ugRAE/day			
VITA_RAE	1	y	15	17	500	650			ugRAE/day			
VITA_RAE	1	y	18	29	450	650			ugRAE/day			
VITA_RAE	1	y	30	49	500	700			ugRAE/day			
VITA_RAE	1	y	50	64	500	700			ugRAE/day			
VITA_RAE	1	y	65	74	500	700			ugRAE/day			
VITA_RAE	1	y	75	999	450	650			ugRAE/day			
VITA_RAE	1	p	0	15					ugRAE/day			
VITA_RAE	1	p	16	27					ugRAE/day			
VITA_RAE	1	p	28	99	+60	+80			ugRAE/day			
VITA_RAE	1	l			+300	+450			ugRAE/day			
VITD	0	m	0	5			5.0	25	ug/day			
VITD	0	m	6	11			5.0	25	ug/day			
VITD	0	y	1	2			3.0	20	ug/day			
VITD	0	y	3	5			3.5	30	ug/day			
VITD	0	y	6	7			4.5	30	ug/day			
VITD	0	y	8	9			5.0	40	ug/day			
VITD	0	y	10	11			6.5	60	ug/day			
VITD	0	y	12	14			8.0	80	ug/day			
VITD	0	y	15	17			9.0	90	ug/day			
VITD	0	y	18	29			8.5	100	ug/day			
VITD	0	y	30	49			8.5	100	ug/day			
VITD	0	y	50	64			8.5	100	ug/day			
VITD	0	y	65	74			8.5	100	ug/day			
VITD	0	y	75	999			8.5	100	ug/day			
VITD	1	m	0	5			5.0	25	ug/day			
VITD	1	m	6	11			5.0	25	ug/day			
VITD	1	y	1	2			3.5	20	ug/day			
VITD	1	y	3	5			4.0	30	ug/day			
VITD	1	y	6	7			5.0	30	ug/day			
VITD	1	y	8	9			6.0	40	ug/day			
VITD	1	y	10	11			8.0	60	ug/day			
VITD	1	y	12	14			9.5	80	ug/day			
VITD	1	y	15	17			8.5	90	ug/day			
VITD	1	y	18	29			8.5	100	ug/day			
VITD	1	y	30	49			8.5	100	ug/day			
VITD	1	y	50	64			8.5	100	ug/day			
VITD	1	y	65	74			8.5	100	ug/day			
VITD	1	y	75	999			8.5	100	ug/day			
VITD	1	p	0	15			8.5		ug/day			
VITD	1	p	16	27			8.5		ug/day			
VITD	1	p	28	99			8.5		ug/day			
VITD	1	l					8.5		ug/day			
TOCPHA	0	m	0	5			3.0		mg/day			
TOCPHA	0	m	6	11			4.0		mg/day			
TOCPHA	0	y	1	2			3.0	150	mg/day			
TOCPHA	0	y	3	5			4.0	200	mg/day			
TOCPHA	0	y	6	7			5.0	300	mg/day			
TOCPHA	0	y	8	9			5.0	350	mg/day			
TOCPHA	0	y	10	11			5.5	450	mg/day			
TOCPHA	0	y	12	14			6.5	650	mg/day			
TOCPHA	0	y	15	17			7.0	750	mg/day			
TOCPHA	0	y	18	29			6.0	850	mg/day			
TOCPHA	0	y	30	49			6.0	900	mg/day			
TOCPHA	0	y	50	64			7.0	850	mg/day			
TOCPHA	0	y	65	74			7.0	850	mg/day			
TOCPHA	0	y	75	999			6.5	750	mg/day			
TOCPHA	1	m	0	5			3.0		mg/day			
TOCPHA	1	m	6	11			4.0		mg/day			
TOCPHA	1	y	1	2			3.0	150	mg/day			
TOCPHA	1	y	3	5			4.0	200	mg/day			
TOCPHA	1	y	6	7			5.0	300	mg/day			
TOCPHA	1	y	8	9			5.0	350	mg/day			
TOCPHA	1	y	10	11			5.5	450	mg/day			
TOCPHA	1	y	12	14			6.0	600	mg/day			
TOCPHA	1	y	15	17			5.5	650	mg/day			
TOCPHA	1	y	18	29			5.0	650	mg/day			
TOCPHA	1	y	30	49			5.5	700	mg/day			
TOCPHA	1	y	50	64			6.0	700	mg/day			
TOCPHA	1	y	65	74			6.5	650	mg/day			
TOCPHA	1	y	75	999			6.5	650	mg/day			
TOCPHA	1	p	0	15			6.5		mg/day			
TOCPHA	1	p	16	27			6.5		mg/day			
TOCPHA	1	p	28	99			6.5		mg/day			
TOCPHA	1	l					7.0		mg/day			
VITK	0	m	0	5			4		ug/day			
VITK	0	m	6	11			7		ug/day			
VITK	0	y	1	2			50		ug/day			
VITK	0	y	3	5			60		ug/day			
VITK	0	y	6	7			80		ug/day			
VITK	0	y	8	9			90		ug/day			
VITK	0	y	10	11			110		ug/day			
VITK	0	y	12	14			140		ug/day			
VITK	0	y	15	17			160		ug/day			
VITK	0	y	18	29			150		ug/day			
VITK	0	y	30	49			150		ug/day			
VITK	0	y	50	64			150		ug/day			
VITK	0	y	65	74			150		ug/day			
VITK	0	y	75	999			150		ug/day			
VITK	1	m	0	5			4		ug/day			
VITK	1	m	6	11			7		ug/day			
VITK	1	y	1	2			60		ug/day			
VITK	1	y	3	5			70		ug/day			
VITK	1	y	6	7			90		ug/day			
VITK	1	y	8	9			110		ug/day			
VITK	1	y	10	11			140		ug/day			
VITK	1	y	12	14			170		ug/day			
VITK	1	y	15	17			150		ug/day			
VITK	1	y	18	29			150		ug/day			
VITK	1	y	30	49			150		ug/day			
VITK	1	y	50	64			150		ug/day			
VITK	1	y	65	74			150		ug/day			
VITK	1	y	75	999			150		ug/day			
VITK	1	p	0	15			150		ug/day			
VITK	1	p	16	27			150		ug/day			
VITK	1	p	28	99			150		ug/day			
VITK	1	l					150		ug/day			
THIA	0	m	0	5			0.1		mg/day			
THIA	0	m	6	11			0.2		mg/day			
THIA	0	y	1	2	0.4	0.5			mg/day			
THIA	0	y	3	5	0.6	0.7			mg/day			
THIA	0	y	6	7	0.7	0.8			mg/day			
THIA	0	y	8	9	0.8	1.0			mg/day			
THIA	0	y	10	11	1.0	1.2			mg/day			
THIA	0	y	12	14	1.2	1.4			mg/day			
THIA	0	y	15	17	1.3	1.5			mg/day			
THIA	0	y	18	29	1.2	1.4			mg/day			
THIA	0	y	30	49	1.2	1.4			mg/day			
THIA	0	y	50	64	1.1	1.3			mg/day			
THIA	0	y	65	74	1.1	1.3			mg/day			
THIA	0	y	75	999	1.0	1.2			mg/day			
THIA	1	m	0	5			0.1		mg/day			
THIA	1	m	6	11			0.2		mg/day			
THIA	1	y	1	2	0.4	0.5			mg/day			
THIA	1	y	3	5	0.6	0.7			mg/day			
THIA	1	y	6	7	0.7	0.8			mg/day			
THIA	1	y	8	9	0.8	0.9			mg/day			
THIA	1	y	10	11	0.9	1.1			mg/day			
THIA	1	y	12	14	1.1	1.3			mg/day			
THIA	1	y	15	17	1.0	1.2			mg/day			
THIA	1	y	18	29	0.9	1.1			mg/day			
THIA	1	y	30	49	0.9	1.1			mg/day			
THIA	1	y	50	64	0.9	1.1			mg/day			
THIA	1	y	65	74	0.9	1.1			mg/day			
THIA	1	y	75	999	0.8	1.1			mg/day			
THIA	1	p	0	15	+0.2	+0.2			mg/day			
THIA	1	p	16	27	+0.2	+0.2			mg/day			
THIA	1	p	28	99	+0.2	+0.2			mg/day			
THIA	1	l			+0.2	+0.2			mg/day			
RIBF	0	m	0	5			0.3		mg/day			
RIBF	0	m	6	11			0.4		mg/day			
RIBF	0	y	1	2	0.5	0.6			mg/day			
RIBF	0	y	3	5	0.7	0.8			mg/day			
RIBF	0	y	6	7	0.8	0.9			mg/day			
RIBF	0	y	8	9	0.9	1.1			mg/day			
RIBF	0	y	10	11	1.1	1.4			mg/day			
RIBF	0	y	12	14	1.3	1.6			mg/day			
RIBF	0	y	15	17	1.4	1.7			mg/day			
RIBF	0	y	18	29	1.3	1.6			mg/day			
RIBF	0	y	30	49	1.3	1.6			mg/day			
RIBF	0	y	50	64	1.2	1.5			mg/day			
RIBF	0	y	65	74	1.2	1.5			mg/day			
RIBF	0	y	75	999	1.1	1.3			mg/day			
RIBF	1	m	0	5			0.3		mg/day			
RIBF	1	m	6	11			0.4		mg/day			
RIBF	1	y	1	2	0.5	0.5			mg/day			
RIBF	1	y	3	5	0.6	0.8			mg/day			
RIBF	1	y	6	7	0.7	0.9			mg/day			
RIBF	1	y	8	9	0.9	1.0			mg/day			
RIBF	1	y	10	11	1.0	1.3			mg/day			
RIBF	1	y	12	14	1.2	1.4			mg/day			
RIBF	1	y	15	17	1.2	1.4			mg/day			
RIBF	1	y	18	29	1.0	1.2			mg/day			
RIBF	1	y	30	49	1.0	1.2			mg/day			
RIBF	1	y	50	64	1.0	1.2			mg/day			
RIBF	1	y	65	74	1.0	1.2			mg/day			
RIBF	1	y	75	999	0.9	1.0			mg/day			
RIBF	1	p	0	15	+0.2	+0.3			mg/day			
RIBF	1	p	16	27	+0.2	+0.3			mg/day			
RIBF	1	p	28	99	+0.2	+0.3			mg/day			
RIBF	1	l			+0.5	+0.6			mg/day			
NE	0	m	0	5			2		mgNE/day			
NE	0	m	6	11			3		mgNE/day			
NE	0	y	1	2	5	6		60	mgNE/day			
NE	0	y	3	5	6	8		80	mgNE/day			
NE	0	y	6	7	7	9		100	mgNE/day			
NE	0	y	8	9	9	11		150	mgNE/day			
NE	0	y	10	11	11	13		200	mgNE/day			
NE	0	y	12	14	12	15		250	mgNE/day			
NE	0	y	15	17	14	17		300	mgNE/day			
NE	0	y	18	29	13	15		300	mgNE/day			
NE	0	y	30	49	13	15		350	mgNE/day			
NE	0	y	50	64	12	14		350	mgNE/day			
NE	0	y	65	74	12	14		300	mgNE/day			
NE	0	y	75	999	11	13		300	mgNE/day			
NE	1	m	0	5			2		mgNE/day			
NE	1	m	6	11			3		mgNE/day			
NE	1	y	1	2	4	5		60	mgNE/day			
NE	1	y	3	5	6	7		80	mgNE/day			
NE	1	y	6	7	7	8		100	mgNE/day			
NE	1	y	8	9	8	10		150	mgNE/day			
NE	1	y	10	11	10	10		150	mgNE/day			
NE	1	y	12	14	12	14		250	mgNE/day			
NE	1	y	15	17	11	13		250	mgNE/day			
NE	1	y	18	29	9	11		250	mgNE/day			
NE	1	y	30	49	10	12		250	mgNE/day			
NE	1	y	50	64	9	11		250	mgNE/day			
NE	1	y	65	74	9	11		250	mgNE/day			
NE	1	y	75	999	9	10		250	mgNE/day			
NE	1	p	0	15					mgNE/day			
NE	1	p	16	27					mgNE/day			
NE	1	p	28	99					mgNE/day			
NE	1	l			+3	+3			mgNE/day			
NE_NA	0	m	0	5			2		mgNE/day			
NE_NA	0	m	6	11			3		mgNE/day			
NE_NA	0	y	1	2	5	6		15	mgNE/day			
NE_NA	0	y	3	5	6	8		20	mgNE/day			
NE_NA	0	y	6	7	7	9		30	mgNE/day			
NE_NA	0	y	8	9	9	11		35	mgNE/day			
NE_NA	0	y	10	11	11	13		45	mgNE/day			
NE_NA	0	y	12	14	12	15		60	mgNE/day			
NE_NA	0	y	15	17	14	17		70	mgNE/day			
NE_NA	0	y	18	29	13	15		80	mgNE/day			
NE_NA	0	y	30	49	13	15		85	mgNE/day			
NE_NA	0	y	50	64	12	14		85	mgNE/day			
NE_NA	0	y	65	74	12	14		80	mgNE/day			
NE_NA	0	y	75	999	11	13		75	mgNE/day			
NE_NA	1	m	0	5			2		mgNE/day			
NE_NA	1	m	6	11			3		mgNE/day			
NE_NA	1	y	1	2	4	5		15	mgNE/day			
NE_NA	1	y	3	5	6	7		20	mgNE/day			
NE_NA	1	y	6	7	7	8		30	mgNE/day			
NE_NA	1	y	8	9	8	10		35	mgNE/day			
NE_NA	1	y	10	11	10	10		45	mgNE/day			
NE_NA	1	y	12	14	12	14		60	mgNE/day			
NE_NA	1	y	15	17	11	13		65	mgNE/day			
NE_NA	1	y	18	29	9	11		65	mgNE/day			
NE_NA	1	y	30	49	10	12		65	mgNE/day			
NE_NA	1	y	50	64	9	11		65	mgNE/day			
NE_NA	1	y	65	74	9	11		65	mgNE/day			
NE_NA	1	y	75	999	9	10		60	mgNE/day			
NE_NA	1	p	0	15					mgNE/day			
NE_NA	1	p	16	27					mgNE/day			
NE_NA	1	p	28	99					mgNE/day			
NE_NA	1	l			+3	+3			mgNE/day			
VITB6A	0	m	0	5			0.2		mg/day			
VITB6A	0	m	6	11			0.3		mg/day			
VITB6A	0	y	1	2	0.4	0.5		10	mg/day			
VITB6A	0	y	3	5	0.5	0.6		15	mg/day			
VITB6A	0	y	6	7	0.7	0.8		20	mg/day			
VITB6A	0	y	8	9	0.8	0.9		25	mg/day			
VITB6A	0	y	10	11	1.0	1.1		30	mg/day			
VITB6A	0	y	12	14	1.2	1.4		40	mg/day			
VITB6A	0	y	15	17	1.2	1.5		50	mg/day			
VITB6A	0	y	18	29	1.1	1.4		55	mg/day			
VITB6A	0	y	30	49	1.1	1.4		60	mg/day			
VITB6A	0	y	50	64	1.1	1.4		55	mg/day			
VITB6A	0	y	65	74	1.1	1.4		50	mg/day			
VITB6A	0	y	75	999	1.1	1.4		50	mg/day			
VITB6A	1	m	0	5			0.2		mg/day			
VITB6A	1	m	6	11			0.3		mg/day			
VITB6A	1	y	1	2	0.4	0.5		10	mg/day			
VITB6A	1	y	3	5	0.5	0.6		15	mg/day			
VITB6A	1	y	6	7	0.6	0.7		20	mg/day			
VITB6A	1	y	8	9	0.8	0.9		25	mg/day			
VITB6A	1	y	10	11	1.0	1.1		30	mg/day			
VITB6A	1	y	12	14	1.0	1.3		40	mg/day			
VITB6A	1	y	15	17	1.0	1.3		45	mg/day			
VITB6A	1	y	18	29	1.0	1.1		45	mg/day			
VITB6A	1	y	30	49	1.0	1.1		45	mg/day			
VITB6A	1	y	50	64	1.0	1.1		45	mg/day			
VITB6A	1	y	65	74	1.0	1.1		40	mg/day			
VITB6A	1	y	75	999	1.0	1.1		40	mg/day			
VITB6A	1	p	0	15	+0.2	+0.2			mg/day			
VITB6A	1	p	16	27	+0.2	+0.2			mg/day			
VITB6A	1	p	28	99	+0.2	+0.2			mg/day			
VITB6A	1	l			+0.3	+0.3			mg/day			
VITB12	0	m	0	5			0.4		ug/day			
VITB12	0	m	6	11			0.5		ug/day			
VITB12	0	y	1	2	0.8	0.9			ug/day			
VITB12	0	y	3	5	0.9	1.1			ug/day			
VITB12	0	y	6	7	1.1	1.3			ug/day			
VITB12	0	y	8	9	1.3	1.6			ug/day			
VITB12	0	y	10	11	1.6	1.9			ug/day			
VITB12	0	y	12	14	2.0	2.4			ug/day			
VITB12	0	y	15	17	2.0	2.4			ug/day			
VITB12	0	y	18	29	2.0	2.4			ug/day			
VITB12	0	y	30	49	2.0	2.4			ug/day			
VITB12	0	y	50	64	2.0	2.4			ug/day			
VITB12	0	y	65	74	2.0	2.4			ug/day			
VITB12	0	y	75	999	2.0	2.4			ug/day			
VITB12	1	m	0	5			0.4		ug/day			
VITB12	1	m	6	11			0.5		ug/day			
VITB12	1	y	1	2	0.8	0.9			ug/day			
VITB12	1	y	3	5	0.9	1.1			ug/day			
VITB12	1	y	6	7	1.1	1.3			ug/day			
VITB12	1	y	8	9	1.3	1.6			ug/day			
VITB12	1	y	10	11	1.6	1.9			ug/day			
VITB12	1	y	12	14	2.0	2.4			ug/day			
VITB12	1	y	15	17	2.0	2.4			ug/day			
VITB12	1	y	18	29	2.0	2.4			ug/day			
VITB12	1	y	30	49	2.0	2.4			ug/day			
VITB12	1	y	50	64	2.0	2.4			ug/day			
VITB12	1	y	65	74	2.0	2.4			ug/day			
VITB12	1	y	75	999	2.0	2.4			ug/day			
VITB12	1	p	0	15	+0.3	+0.4			ug/day			
VITB12	1	p	16	27	+0.3	+0.4			ug/day			
VITB12	1	p	28	99	+0.3	+0.4			ug/day			
VITB12	1	l			+0.7	+0.8			ug/day			
FOL	0	m	0	5			40		ug/day			
FOL	0	m	6	11			60		ug/day			
FOL	0	y	1	2	80	90		200	ug/day			
FOL	0	y	3	5	90	110		300	ug/day			
FOL	0	y	6	7	110	140		400	ug/day			
FOL	0	y	8	9	130	160		500	ug/day			
FOL	0	y	10	11	160	190		700	ug/day			
FOL	0	y	12	14	200	240		900	ug/day			
FOL	0	y	15	17	220	240		900	ug/day			
FOL	0	y	18	29	200	240		900	ug/day			
FOL	0	y	30	49	200	240		1000	ug/day			
FOL	0	y	50	64	200	240		1000	ug/day			
FOL	0	y	65	74	200	240		900	ug/day			
FOL	0	y	75	999	200	240		900	ug/day			
FOL	1	m	0	5			40		ug/day			
FOL	1	m	6	11			60		ug/day			
FOL	1	y	1	2	90	90		200	ug/day			
FOL	1	y	3	5	90	110		300	ug/day			
FOL	1	y	6	7	110	140		400	ug/day			
FOL	1	y	8	9	130	160		500	ug/day			
