FN	STARCH	GLUS	FRUS	GALS	SUCS	MALS	LACS	TRES	CHOAVL	SORTL	MANTL	NoticeSUG			
01015	72.7	Tr	Tr	-	0.3	0.1	(0)	(0)	73.1	-	-				
01016	70.2	Tr	Tr	-	0.4	0.1	(0)	(0)	70.7	-	-				
01018	69.1	Tr	Tr	-	0.2	0.1	(0)	(0)	69.5	-	-				
01019	66.1	Tr	Tr	-	0.3	0.1	(0)	(0)	66.5	-	-				
01020	66.5	Tr	Tr	0	0.1	0.2	0	(0)	66.8	-	-				
01021	63.2	Tr	Tr	-	0.3	0.1	(0)	(0)	63.6	-	-				
01023	(55.3)	(Tr)	(Tr)	(0)	(0.2)	(0)	(0)	(0)	(55.6)	-	-	米国成分表から推計			
01146	63.6	0.3	0	0	3.0	0.6	0	-	67.6	-	-				
01024	(54.6)	(3.5)	(0.1)	(0)	(12.9)	(0.2)	(1.0)	(0)	(72.4)	-	-	原材料配合割合から推計			
01147	57.5	0.9	0.1	0	2.1	2.4	0.4	-	63.4	-	-				
01025	69.7	Tr	-	-	0.3	0.1	-	-	70.1	-	-				
01171	(27.4)	(Tr)	-	-	(0.1)	(Tr)	-	-	(27.6)	-	-	天ぷら粉39、水61<br>01025プレミックス粉天ぷら用から推計			
01026	38.9	1.5	2.2	-	0	1.3	0.2	0.1	44.2	0	-				
01174	42.5	1.5	2.4	-	-	1.4	-	-	47.8	-	-				
01175	35.7	1.4	2.0	-	0	1.2	-	-	40.2	-	-	※ 耳の割合： 45 %、耳以外の割合 : 55 %			
01028	41.4	2.5	3.1	-	0.7	1.7	-	0.2	49.6	Tr	(0)	イソマルトース： 0g			
01213	40.6	2.5	3.3	-	0.3	0.2	0.1	0.2	47.1	-	-				
01030	(71.0)	(Tr)	(Tr)	(0)	(3.2)	(0.1)	(0.5)	(0.1)	(74.9)	(0)	(0)	原材料配合割合から推計			
01031	56.3	Tr	-	-	0	1.8	-	-	58.2	-	-				
01034	39.1	1.8	2.7	-	0.2	1.3	0.4	0.2	45.7	Tr	-				
01036	(33.7)	(0.5)	(0.7)	(0)	(Tr)	(1.8)	(Tr)	(0)	(36.7)	-	-	英国成分表から推計			
01037	(38.8)	(0.6)	(0.7)	(0)	(Tr)	(1.1)	(0.3)	(0)	(41.6)	-	-	英国成分表から推計			
01148	40.9	0.8	1.2	-	0.3	2.5	0	0.3	46.0	Tr	-				
01038	48.2	0.2	0.2	-	0.2	1.4	(0)	0	50.1	Tr	-	きしめん、ひもかわを含む			
01039	19.0	Tr	Tr	-	Tr	0.3	(0)	0	19.5	0	-	きしめん、ひもかわを含む			
01186	(55.2)	(0.3)	(0.2)	-	(0.2)	(1.6)	(0)	(0)	(57.4)	(0.1)	-	01038うどん生から推計			
01041	(69.5)	(Tr)	(Tr)	-	(0.2)	(0.1)	(0)	(0)	(69.9)	-	-	01038うどん生から推計			
01042	(24.1)	(0)	(Tr)	-	(0.1)	(Tr)	(0)	(0)	(24.2)	-	-	01039うどんゆでから推計			
01043	62.4	0.1	-	-	0.2	2.4	(0)	0	65.1	0	-				
01044	22.9	0	-	-	Tr	0.4	(0)	0	23.3	0	-				
01045	60.7	0.1	0.1	0	0.2	2.5	(0)	-	63.5	-	-				
01046	(21.2)	(Tr)	(Tr)	(0)	(0.1)	(0.9)	(0)	-	(22.2)	-	-	01045手延そうめん乾から推計			
01047	46.3	Tr	0	-	0.1	0.9	-	0.3	47.6	0.1	-				
01048	24.9	Tr	0	-	Tr	0.1	-	0.1	25.2	Tr	-				
01187	(52.7)	(Tr)	(0)	-	(0.1)	(1.0)	-	(0.3)	(54.2)	(0.2)	-	01047中華めん生から推計			
01049	30.2	Tr	0	-	0.1	0.2	(0)	0	30.6	0.2	-				
01188	35.5	Tr	0	-	0.1	0.3	-	0	35.9	0.2	-				
01050	63.6	Tr	Tr	-	0.2	1.2	(0)	0	65.0	0	-				
01051	25.1	Tr	0	-	Tr	0.3	(0)	0	25.4	0	-				
01052	(46.8)	(Tr)	(0)	-	(0.1)	(0.9)	-	(0.3)	(48.1)	-	-	別名：沖縄めん<br>01047中華めん生から推計			
01053	(24.5)	(Tr)	(0)	-	(Tr)	(0.1)	-	(0.1)	(24.8)	-	-	別名：沖縄めん<br>01048中華めんゆでから推計			
01054	(59.6)	(Tr)	(0)	-	(0.1)	(1.1)	-	(0.3)	(61.3)	-	-	別名：沖縄めん<br>01047中華めん生から推計			
01055	(24.9)	(Tr)	(0)	-	(Tr)	(0.1)	-	(0.1)	(25.2)	-	-	別名：沖縄めん<br>01048中華めんゆでから推計			
01056	56.5	Tr	0	-	0.7	0.2	-	0	57.3	0.1	-	別名： インスタントラーメン<br>添付調味料等を含む			
01057	(54.1)	(Tr)	(0)	-	(0.6)	(0.2)	(0)	(0)	(54.9)	(0.1)	-	別名： インスタントラーメン<br>調理前のもの、添付調味料等を含む<br>可食部(100g)から脂質量(g)を差し引いた部分について01056即席中華めん油揚げ味付けから推計			
01198	(12.0)	(Tr)	(0)	-	(0.1)	(Tr)	(0)	(0)	(12.2)	(0)	-	添付調味料等を含む<br>01057即席中華めん、油揚げ、乾から再推計			
01189	25.8	0	0	-	0.1	0.3	-	0	26.1	0	-	添付調味料等を含まない			
01144	58.2	Tr	Tr	-	0.2	0.9	-	0	59.3	0	-	調理前のもの、添付調味料等を除く			
01058	(58.9)	(Tr)	(0)	-	(0.7)	(0.2)	(0)	(0)	(59.8)	(0.1)	-	別名： インスタントラーメン<br>調理前のもの、添付調味料等を含む<br>可食部(100g)から脂質量(g)を差し引いた部分について01056即席中華めん油揚げ味付けから推計			
01199	(15.6)	(Tr)	(0)	-	(0.2)	(0.1)	(0)	(0)	(15.8)	(0)	-	添付調味料等を含む<br>01058即席中華めん、非油揚げ、乾から再推計			
01190	26.4	Tr	0	-	0.1	0.1	-	0.1	26.6	0	-	添付調味料等を含まない			
01145	66.8	0.1	Tr	-	0.2	0.2	-	0.3	67.7	0	-	調理前のもの、添付調味料等を除く			
01193	48.3	1.7	0.3	-	0.9	0.9	-	0	52.1	0.2	-	調理前のもの、添付調味料等を含む			
01201	(3.2)	(0.1)	(Tr)	-	(0.1)	(0.1)	-	(0)	(3.5)	(Tr)	-	添付調味料等を含む<br>01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計			
01194	22.1	0.2	Tr	-	0.1	0.2	-	0	22.7	Tr	-	添付調味料等を含む			
01191	47.7	0.3	0.1	-	1.0	0.7	-	0	49.8	0.2	-	調理前のもの、添付調味料等を含む			
01200	(5.7)	(Tr)	(Tr)	-	(0.1)	(0.1)	-	(0)	(6.0)	(Tr)	-	添付調味料等を含む<br>01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計			
01192	16.3	Tr	Tr	-	0.1	0.1	-	0	16.7	Tr	-	添付調味料等を含む			
01060	47.3	2.6	0.9	-	2.9	0.7	-	0	54.5	0.1	-	別名： カップ焼きそば<br>調理前のもの、添付調味料等を含む			
01202	(11.7)	(0.6)	(0.2)	-	(0.7)	(0.2)	-	(0)	(13.5)	(Tr)	-	添付調味料等を含む<br>01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計			
01061	51.2	1.1	0.2	-	1.3	0.4	-	0.1	54.3	0.1	-	別名： カップラーメン<br>調理前のもの、添付調味料等を含む			
01203	(11.5)	(0.3)	(Tr)	-	(0.3)	(0.1)	-	(Tr)	(12.2)	(Tr)	-	添付調味料等を含む<br>01061中華スタイル即席カップめん、非油揚げ、乾より推計			
01195	22.9	0.1	Tr	-	0.2	0.1	-	Tr	23.4	0	-	添付調味料等を含む			
01062	48.2	0.2	0.1	-	4.0	0.6	-	0	53.0	0.3	-	別名： カップうどん<br>調理前のもの、添付調味料等を含む			
01204	(6.1)	(Tr)	(Tr)	-	(0.5)	(0.1)	-	(0)	(6.7)	(Tr)	-	添付調味料等を含む<br>01062和風スタイル即席カップめん、油揚げ、乾より推計			
01196	20.6	Tr	0	-	0.4	0.2	-	0	21.2	Tr	-	添付調味料等を含む			
01063	64.1	0.1	0.1	0	0.4	2.3	(0)	-	66.9	-	-				
01064	27.9	Tr	Tr	-	0.1	0.5	(0)	-	28.5	-	-	1.5 %食塩水でゆでた場合			
01149	36.9	0.2	0.1	-	0.1	4.7	-	0.2	42.2	0	-	デュラム小麦100 %以外のものも含む			
01070	15.6	0	0	-	11.8	Tr	(0)	-	27.5	-	-	試料： 焙焼品			
01074	(54.6)	(Tr)	(Tr)	-	(0.2)	(0.1)	(0)	(0)	(54.9)	-	-	01018中力粉1等から推計			
01075	(55.3)	(Tr)	(Tr)	-	(0.2)	(0.1)	(0)	(0)	(55.7)	-	-	01018中力粉1等から推計			
01076	(45.5)	(0.3)	(0.3)	-	(Tr)	(2.5)	(Tr)	-	(48.5)	-	-	別名： ピザクラスト<br>英国成分表から推計			
01077	(41.6)	(1.6)	(2.4)	-	(0)	(1.4)	(0.2)	(0.1)	(47.2)	-	-	01026食パンから推計			
01078	(47.4)	(1.8)	(2.7)	-	(0)	(1.6)	(0.2)	(0.1)	(53.8)	-	-	01026食パンから推計			
01079	60.2	Tr	0.1	-	0	2.1	-	0.1	62.5	0	-	イソマルトース： 0g			
01150	50.7	Tr	0	-	0.1	1.6	-	0	52.4	Tr	-				
01080	70.5	Tr	Tr	0	0.8	0	0	(0)	71.3	-	-	うるち米			
01081	73.6	Tr	Tr	-	0.4	0	(0)	(0)	74.1	-	-	うるち米<br>歩留り： 95～96 %			
01082	75.4	Tr	Tr	-	0.3	0	(0)	(0)	75.8	-	-	うるち米<br>歩留り： 92～94 %			
01083	75.4	0	0	0	0.2	0	0	(0)	75.6	-	-	うるち米<br>歩留り： 90～91 %			
01151	70.3	0	-	-	0.3	0	(0)	(0)	70.5	0	-	歩留り： 90～91 %			
01152	72.9	0	0	0	Tr	0	-	-	73.0	-	-	うるち米 <br>歩留り： 90～91 %			
01084	71.5	Tr	0	-	0.6	0	(0)	(0)	72.2	-	-	うるち米<br>歩留り： 91～93 %			
01153	68.8	0.1	Tr	-	0.4	0	(0)	(0)	69.3	-	-	うるち米			
01181	64.1	Tr	Tr	-	1.0	0	-	-	65.2	Tr	-				
01182	64.7	0.1	Tr	-	1.0	0	-	-	65.7	0	-				
01085	30.9	0.2	0.1	-	0.8	Tr	(0)	(0)	32.0	-	-	うるち米<br>玄米47 g相当量を含む			
01086	33.1	0.2	Tr	-	0.2	0	(0)	(0)	33.5	-	-	うるち米<br>半つき米47 g相当量を含む			
01087	33.2	0.1	Tr	-	0.1	0	(0)	(0)	33.5	-	-	うるち米<br>七分つき米47 g相当量を含む			
01168	37.3	0.1	0	0	0	0	-	-	37.3	-	-	精白米51 g相当量を含む			
01088	34.5	0.1	0	-	Tr	0	(0)	(0)	34.6	-	-	精白米47 g相当量を含む			
01154	41.4	0.1	-	-	Tr	0	(0)	(0)	41.5	0	-	精白米55 g相当量を含む			
01089	34.2	0.1	0	-	0.2	0	(0)	(0)	34.5	-	-	うるち米<br>はいが精白米47 g相当量を含む			
01155	30.0	0.1	0	-	0.2	0	(0)	(0)	30.2	-	-	うるち米<br>発芽玄米47 g相当量を含む			
01183	27.7	Tr	Tr	-	0.4	-	-	-	28.2	0	-				
01184	27.7	0.1	Tr	-	0.3	-	-	-	28.2	-	-				
01185	(24.6)	(0.1)	(0)	-	(Tr)	(0)	(0)	(0)	(24.7)	-	-	01088水稲めしうるち米から推計			
01090	(13.1)	(0.1)	(Tr)	-	(0.3)	(0)	(0)	(0)	(13.6)	-	-	うるち米<br>5倍かゆ<br>玄米20 g相当量を含む<br>01085水稲めし玄米から推計			
01091	(14.1)	(0.1)	(0)	-	(0.1)	(0)	(0)	(0)	(14.2)	-	-	うるち米<br>5倍かゆ<br>半つき米20 g相当量を含む<br>01086水稲めし半つき米から推計			
01092	(14.1)	(0.1)	(0)	-	(Tr)	(0)	(0)	(0)	(14.2)	-	-	うるち米<br>5倍かゆ<br>七分つき米20 g相当量を含む<br>01087水稲めし七分つき米から推計			
01093	(14.7)	(Tr)	(0)	-	(0)	(0)	(0)	(0)	(14.7)	-	-	うるち米<br>5倍かゆ<br>精白米20 g相当量を含む<br>01088水稲めし精白米うるち米から推計			
01094	(6.6)	(Tr)	(Tr)	-	(0.2)	(0)	(0)	(0)	(6.8)	-	-	うるち米<br>10倍かゆ<br>玄米10 g相当量を含む<br>01085水稲めし玄米から推計			
01095	(7.0)	(Tr)	(0)	-	(Tr)	(0)	(0)	(0)	(7.1)	-	-	うるち米<br>10倍かゆ<br>半つき米10 g相当量を含む<br>01086水稲めし半つき米から推計			
01096	(7.1)	(Tr)	(0)	-	(Tr)	(0)	(0)	(0)	(7.1)	-	-	うるち米<br>10倍かゆ<br>七分つき米10 g相当量を含む<br>01087水稲めし七分つき米から推計			
01097	(7.3)	(Tr)	(0)	-	(0)	(0)	(0)	(0)	(7.4)	-	-	うるち米<br>10倍かゆ<br>精白米10 g相当量を含む<br>01088水稲めし精白米うるち米から推計			
01098	(3.9)	(Tr)	(0)	-	(0.1)	(0)	(0)	(0)	(4.0)	-	-	うるち米<br>弱火で加熱、ガーゼでこしたもの<br>玄米6 g相当量を含む<br>01085水稲めし玄米から推計			
01099	(4.1)	(Tr)	(0)	-	(Tr)	(0)	(0)	(0)	(4.2)	-	-	うるち米<br>弱火で加熱、ガーゼでこしたもの<br>半つき米6 g相当量を含む<br>01086水稲めし半つき米から推計			
01100	(4.2)	(Tr)	(0)	-	(Tr)	(0)	(0)	(0)	(4.2)	-	-	うるち米<br>弱火で加熱、ガーゼでこしたもの<br>七分つき米6 g相当量を含む<br>01087水稲めし七分つき米から推計			
01101	(4.3)	(Tr)	(0)	-	(0)	(0)	(0)	(0)	(4.3)	-	-	うるち米<br>弱火で加熱、ガーゼでこしたもの<br>精白米6 g相当量を含む<br>01088水稲めし精白米うるち米から推計			
01102	(70.5)	(Tr)	(Tr)	(0)	(0.8)	(0)	(0)	(0)	(71.3)	-	-	うるち、もちを含む<br>01080水稲穀粒玄米から推計			
01103	(73.6)	(Tr)	(Tr)	-	(0.4)	(0)	(0)	(0)	(74.1)	-	-	うるち、もちを含む<br>歩留り： 95～96 %<br>01081水稲穀粒半つき米から推計			
01104	(75.4)	(Tr)	(Tr)	-	(0.3)	(0)	(0)	(0)	(75.8)	-	-	うるち、もちを含む<br>歩留り： 93～94 %<br>01082水稲穀粒七分つき米から推計			
01105	(70.3)	(0)	-	-	(0.3)	(0)	(0)	(0)	(70.5)	-	-	うるち、もちを含む<br>歩留り： 90～92 %<br>01083水稲穀粒精白米うるち米から推計			
01106	(30.9)	(0.2)	(0.1)	-	(0.8)	(Tr)	(0)	(0)	(32.0)	-	-	うるち、もちを含む<br>玄米47 g相当量を含む<br>01085水稲めし玄米から推計			
01107	(33.1)	(0.2)	(Tr)	-	(0.2)	(0)	(0)	(0)	(33.5)	-	-	うるち、もちを含む<br>半つき米47 g相当量を含む<br>01086水稲めし半つき米から推計			
01108	(33.2)	(0.1)	(Tr)	-	(0.1)	(0)	(0)	(0)	(33.5)	-	-	うるち、もちを含む<br>七分つき米47 g相当量を含む<br>01087水稲めし七分つき米から推計			
01109	(34.5)	(0.1)	(0)	-	(Tr)	(0)	(0)	(0)	(34.6)	-	-	うるち、もちを含む<br>精白米47 g相当量を含む<br>01088水稲めし精白米うるち米から推計			
01110	79.5	Tr	0	0	Tr	0	(0)	(0)	79.6	-	-				
01156	(79.5)	(Tr)	(0)	(0)	(Tr)	(0)	(0)	(0)	(79.6)	-	-	01110アルファ化米、一般用と同値			
01214	8.9	0	0	-	0.1	0	-	0	9.1	0	-	食塩無添加品<br>イソマルトース： 0 g			
01215	8.1	0	0	-	0	0	-	0	8.2	0	-	食塩無添加品<br>イソマルトース： 0 g			
01111	36.0	Tr	0	-	0	0	(0)	0	36.1	-	-	塩むすび（のり、具材なし）<br>食塩0.5 gを含む			
01112	(36.9)	(Tr)	(0)	-	(0)	(0)	(0)	(0)	(36.9)	-	-	こいくちしょうゆ6.5 gを含む<br>01111おにぎりから推計			
01113	(41.9)	(0.1)	(0)	-	(0)	(0)	(0)	(0)	(41.9)	-	-	01111おにぎりから推計			
01114	75.8	Tr	-	-	0.1	0	(0)	(0)	75.9	-	-				
01157	77.0	0	0	-	0.1	0	(0)	(0)	77.1	-	-	焙煎あり			
01158	74.2	Tr	0	-	Tr	0	(0)	(0)	74.3	-	-				
01159	46.5	1.1	1.4	-	0.1	0	0	1.7	50.8	0	-	試料： 小麦アレルギー対応食品（米粉100 %）			
01160	51.2	0.1	0	-	Tr	0.1	(0)	0	51.5	0.2	-	試料： 小麦アレルギー対応食品（米粉100 %）			
01115	(72.3)	(0.2)	(0)	-	(0.1)	(0.1)	(0)	(0)	(72.7)	-	-	01160米粉めんから推計			
01169	77.9	0	0	0	0	0	-	-	77.9	-	-	別名： 生春巻きの皮			
01116	44.3	11.4	0	0	0	0.3	-	-	55.9	-	-				
01117	45.5	0	0	-	0	0	(0)	0	45.5	-	-				
01118	(37.1)	(0)	-	-	(0.2)	(0)	(0)	(0)	(37.3)	-	-	別名： おこわ、こわめし<br>原材料配合割合： もち米100、ささげ10<br>01154水稲めし精白米もち米及び04018ささげゆでから推計			
01119	(26.3)	(Tr)	-	-	(Tr)	(0)	(0)	(0)	(26.4)	-	-	01154水稲めしもち米から推計			
01120	76.5	Tr	-	-	Tr	0	(0)	(0)	76.5	-	-	別名：寒晒し粉（かんざらし）			
01121	(77.3)	(Tr)	-	-	(Tr)	(0)	(0)	(0)	(77.3)	-	-	01120白玉粉から推計			
01161	18.4	0.1	Tr	-	6.8	Tr	(0)	(0)	25.3	-	-				
01122	62.7	0.1	Tr	0	1.1	0	0	(0)	63.9	-	-	表層粉の一部を除いたもの<br>別名： 挽きぐるみ			
01123	73.5	Tr	Tr	-	0.2	0	(0)	(0)	73.8	-	-	別名： さらしな粉、ごぜん粉			
01124	63.9	Tr	Tr	-	1.0	0	(0)	(0)	64.9	-	-				
01125	38.9	0.1	0.1	-	2.3	Tr	(0)	(0)	41.5	-	-				
01126	(63.2)	(0.1)	(Tr)	(0)	(1.1)	(0)	(0)	(0)	(64.4)	-	-	別名： そばごめ、むきそば<br>01122そば粉全層粉から推計			
01127	(50.9)	(Tr)	(0)	(0)	(0.3)	(0.1)	(0)	(0)	(51.3)	-	-	別名： そば切り<br>小麦製品を原材料に含む<br>原材料配合割合から推計			
01128	(24.3)	(Tr)	(0)	(0)	(0.2)	(Tr)	(0)	(0)	(24.5)	-	-	別名： そば切り<br>原材料配合割合から推計			
01197	(58.5)	(Tr)	(0)	(Tr)	(0.4)	(0)	(0)	(0)	(59.0)	(0.1)	(0)	原材料配合割合から推計			
01129	(65.3)	(Tr)	(Tr)	(0)	(0.4)	(0.1)	(0)	(0)	(65.9)	-	-	原材料配合割合： 小麦粉65、そば粉35<br>原材料配合割合から推計			
01130	(21.3)	(Tr)	(0)	(0)	(0.1)	(Tr)	(0)	(0)	(21.5)	-	-	原材料配合割合から推計			
01131	63.4	0.2	0.1	0	1.1	0	(0)	(0)	64.8	-	-	別名： とうきび			
01162	(63.4)	(0.2)	(0.1)	(0)	(1.1)	(0)	(0)	(0)	(64.8)	-	-	別名： とうきび<br>01131とうもうろこし黄色種から推計			
01132	(71.0)	(0.5)	(0.2)	(0)	(0.7)	(0.2)	(0)	(0)	(72.5)	-	-	別名： とうきび<br>歩留り： 75～80 %<br>米国成分表から推計			
01163	(71.0)	(0.5)	(0.2)	(0)	(0.7)	(0.2)	(0)	(0)	(72.5)	-	-	別名： とうきび<br>歩留り： 75～80 %<br>米国成分表から推計			
01133	74.3	0.1	0.1	-	0.2	0	(0)	(0)	74.8	-	-	別名： とうきび<br>歩留り： 44～55 %			
01164	(74.3)	(0.1)	(0.1)	-	(0.2)	(0)	(0)	(0)	(74.8)	-	-	別名： とうきび<br>歩留り： 44～55 %<br>01133コーングリッツ黄色種から推計			
01134	(71.0)	(0.5)	(0.2)	(0)	(0.7)	(0.2)	(0)	(0)	(72.5)	-	-	別名： とうきび<br>歩留り： 4～12 %<br>米国成分表から推計			
01165	(71.0)	(0.5)	(0.2)	(0)	(0.7)	(0.2)	(0)	(0)	(72.5)	-	-	別名： とうきび<br>歩留り： 4～12 %<br>米国成分表から推計			
01136	(53.5)	(Tr)	(Tr)	(0)	(0.6)	(0)	(0)	(0)	(54.1)	-	-	別名： とうきび<br>英国成分表から推計			
01137	(75.1)	(1.7)	(1.5)	(0)	(3.9)	(Tr)	(0)	(0)	(82.2)	-	-	別名： とうきび<br>英国成分表から推計			
01139	70.5	Tr	0	-	0.3	0	(0)	(0)	70.8	-	-	歩留り： 55～60 %			
01140	58.8	0.1	0.1	-	0.7	0	(0)	(0)	59.7	-	-	別名： こうりゃん、ソルガム、たかきび、マイロ			
01141	64.9	0.1	Tr	-	0.5	0	(0)	(0)	65.4	-	-	別名： こうりゃん、ソルガム、たかきび、マイロ<br>歩留り： 70～80 %			
01142	54.5	0.1	0.1	-	1.0	0.1	(0)	(0)	55.7	-	-	別名：黒麦（くろむぎ）			
01143	57.7	0.1	0.1	-	0.6	0.1	(0)	(0)	58.6	-	-	別名:黒麦（くろむぎ）<br>歩留り： 65～75 %			
02068	26.0	0.1	0.1	0	4.2	0.1	-	-	30.5	-	-	別名： アピオス<br>廃棄部位： 表層及び両端			
02069	23.0	0.1	0.2	-	4.6	0.1	-	-	27.9	-	-	別名： アピオス<br>廃棄部位： 表皮、剥皮の際に表皮に付着する表層及び両端			
02001	(0.3)	(0.4)	(0.4)	-	(1.7)	(0)	(0)	-	(2.7)	-	-	廃棄部位： 表層<br>豪州成分表から推計			
02041	(0.2)	(0.3)	(0.3)	-	(1.3)	(0)	(0)	-	(2.1)	-	-	豪州成分表から推計			
02045	24.1	0.7	0.5	-	3.0	0.1	(0)	(0)	28.4	-	-	別名： かんしょ（甘藷）<br>廃棄部位： 両端			
02046	14.5	0.6	0.4	-	3.1	10.3	(0)	(0)	28.9	-	-	別名： かんしょ（甘藷）<br>廃棄部位： 両端			
02047	23.6	0.6	0.5	-	3.1	5.7	-	-	33.5	-	-	別名： かんしょ（甘藷）			
02006	24.5	0.6	0.4	-	2.7	0.1	0	(0)	28.3	-	-	別名： かんしょ（甘藷）<br>廃棄部位： 表層及び両端（表皮の割合： 2 %）			
02007	17.5	0.5	0.4	-	2.6	9.2	(0)	(0)	30.3	-	-	別名： かんしょ（甘藷）<br>廃棄部位： 表皮及び両端			
02008	13.1	0.4	0.4	-	4.7	15.8	(0)	(0)	34.4	-	-	別名： かんしょ（甘藷）、石焼き芋<br>廃棄部位： 表層			
02009	21.8	2.6	2.2	-	11.5	24.4	(0)	(0)	62.5	-	-	別名： かんしょ（甘藷）、乾燥いも、干しいも			
02048	22.7	0.8	0.7	-	3.3	0	(0)	(0)	27.5	-	-	別名： かんしょ（甘藷）<br>廃棄部位： 表層及び両端			
02049	13.6	0.7	0.6	-	3.3	9.0	(0)	(0)	27.2	-	-	別名： かんしょ（甘藷）<br>廃棄部位： 表皮及び両端			
02010	8.7	0.3	0.4	-	0.9	Tr	0	(0)	10.3	-	-	廃棄部位： 表層			
02011	8.9	0.2	0.3	-	0.8	0	(0)	(0)	10.2	-	-				
02012	11.3	0.1	0.1	-	0.5	0.5	(0)	(0)	12.5	-	-				
02050	14.5	0.1	0.1	-	0.9	Tr	(0)	(0)	15.6	-	-	別名： あかめいも<br>廃棄部位： 表層			
02051	14.3	Tr	0.1	-	0.8	Tr	(0)	(0)	15.2	-	-	別名： あかめいも			
02052	17.0	0.1	0.2	-	1.1	0.1	(0)	(0)	18.6	-	-	別名： 京いも<br>廃棄部位： 表層			
02053	16.3	0.1	0.1	-	1.1	0	(0)	(0)	17.6	-	-	別名： 京いも			
02013	21.7	0.2	0.1	-	1.0	0.1	(0)	(0)	23.1	-	-	別名： 田芋<br>廃棄部位： 表層及び両端			
02014	20.9	0.1	Tr	-	0.9	0	(0)	(0)	22.0	-	-	別名： 田芋			
02015	17.4	Tr	Tr	-	0.8	Tr	(0)	(0)	18.4	-	-	廃棄部位： 表層			
02016	17.4	Tr	Tr	-	0.7	0.1	(0)	(0)	18.2	-	-				
02063	13.4	0.3	0.2	-	0.2	0	(0)	(0)	14.2	(0)	-	別名： ばれいしょ（馬鈴薯）<br>廃棄部位： 損傷部及び芽<br>ソルビトールは豪州成分表から推計			
02064	14.9	0.3	0.2	-	0.3	0	(0)	(0)	15.6	(0)	-	別名： ばれいしょ（馬鈴薯）<br>損傷部及び芽を除いたもの<br>ソルビトールは豪州成分表から推計			
02065	19.8	0.7	0.7	-	0.4	0	(0)	(0)	21.6	(0)	-	別名： ばれいしょ（馬鈴薯）<br>損傷部及び芽を除いたもの<br>ソルビトールは豪州成分表から推計			
02017	14.7	0.3	0.2	-	0.3	0	0	(0)	15.5	(0)	-	別名： ばれいしょ（馬鈴薯）<br>廃棄部位： 表層<br>ソルビトールは豪州成分表から推計			
02019	13.9	0.2	0.2	-	0.2	Tr	(0)	(0)	14.6	(0)	-	別名： ばれいしょ（馬鈴薯）<br>表層を除いたもの<br>ソルビトールは豪州成分表から推計			
02018	14.4	0.3	0.2	-	0.3	0	(0)	(0)	15.1	(0)	-	別名： ばれいしょ（馬鈴薯）<br>廃棄部位： 表皮<br>ソルビトールは豪州成分表から推計			
02066	15.1	0.3	0.2	-	0.3	0	(0)	(0)	15.9	(0)	-	別名： ばれいしょ（馬鈴薯）<br>廃棄部位： 表皮<br>ソルビトールは豪州成分表から推計			
